our_clinic_id,name,domain,decision,g99_clinic_id,g99_business_id
74e31e8e-1665-4e37-91e5-efa616273f4b,Beauty Refined,beautyrefined.com,link,10605,4504
78de4072-0e54-4c2f-864d-370ffc2cb04e,Coastal Glo Med Spa,coastalglo.com,link,5232,4987
3ddc4d35-c412-4b80-bcaf-d50f863ace51,Skin Haven Clinic,skinhavenclinic.com,link,2498,2384
31c448e5-b76d-446c-a13f-853b718476cf,Balanced Wellness Medical Spa,balancedmedicalspa.com,no-match,,
a25c20a2-6cda-44a1-9c95-d1a69c2c28d0,Cienega Medical,cienegaspa.com,no-match,,
836d65c5-0373-4688-97a2-3cec436d6bdd,EMME Skin Studio,emmeskinstudio.com,no-match,,
1dc165da-0171-409b-8bb6-df490501db28,Essence Skin Clinic,essenceskinclinic.com,no-match,,
8af16be8-319a-4f0f-8971-30c36730a2e6,Lush Lifestyle Medicine,lushwellnessco.com,no-match,,
85028310-9bef-4ea0-87fb-20875f10599e,OC Cosmetic and Vein Center,occosmeticandvein.com,no-match,,
22f93a43-d111-44d6-aea3-b88bdc1e4f40,Rava Medical,ravamedical.com,no-match,,
a47c4be7-d35f-4c50-9d30-8c0039195e7a,Reclaim Med Spa,reclaimmedspastl.com,no-match,,
470f92fa-277d-44f8-bd9b-ca8d4777ad4c,The Derm Collective North Shore,dermcollectivenorthshore.com,no-match,,
ea4115f5-f4fb-440b-9e7b-2599afa3ccdd,The District,thedistrictclinics.com,no-match,,
a8f15871-f9b6-459b-bf09-0f666f3a1f0c,VIBE Aesthetics and Wellness,vibe-aesthetics.com,no-match,,
66a73c95-b674-4a4b-ba70-17e6cb100aa6,Aère Aesthetics,aereaesthetics.com,review-deleted,4700,4462
