Domain,Website,Business name (G99),Clinic name (G99),Specialization,Reason not added,Category,Possible base-domain match,G99 clinic rows,G99 clinic ids
aesthetic-district.com,https://aesthetic-district.com,The District,The District,Medical Aesthetics,Duplicate of: The District,Alternate domain of a clinic already in the DB,,1,4456
aesthetic-intel.com,https://aesthetic-intel.com,Aesthetic Intel,Aesthetic Intel,Medical Aesthetics,Provider training institute — not a patient-facing clinic,Not a medspa / no usable data,,1,1670
afivestarsmile.com,https://afivestarsmile.com,"Cosmetic Dental Spa Ricardo M. Perez, DDS","Cosmetic Dental Spa Ricardo M. Perez, DDS",Medical Aesthetics,"Duplicate of: Cosmetic Dental Spa Ricardo M. Perez, DDS",Alternate domain of a clinic already in the DB,,1,9086
americanprep.org,https://americanprep.org,American Preparatory Schools,American Preparatory Schools,Medical Aesthetics,Duplicate of: American Preparatory Schools,Alternate domain of a clinic already in the DB,,1,708
apexfit.com,https://apexfit.com,Apex Fit,Apex Fit,Medical Aesthetics,"Fitness training studio (personal training, DEXA) — no listed aesthetic services",Not a medspa / no usable data,,1,4333
artspahouse.com,https://artspahouse.com,ART Spa House,ART Spa House,Medical Aesthetics,Day spa (massage/facials/nails) — no medical aesthetics or injectables,Not a medspa / no usable data,,1,5209
ascentintegrativemedicine.com,https://ascentintegrativemedicine.com,Ascent Integrative Medicine,Ascent Integrative Medicine,Medical Aesthetics,Duplicate of: Ascent Integrative Medicine,Alternate domain of a clinic already in the DB,,1,1575
azorthopedic.com,https://azorthopedic.com,AZ Orthopedic,AZ Orthopedic - Peoria,Medical Aesthetics,Orthopedic surgery practice — not a medspa,Not a medspa / no usable data,,2,"5496, 5720"
beautyrefined.co,https://beautyrefined.co,Beauty Refined,Beauty Refined,Medical Aesthetics,Duplicate of: Beauty Refined,Alternate domain of a clinic already in the DB,,2,"4731, 4800"
bluesparkhealth.com,https://bluesparkhealth.com,Blue Spark Health,Blue Spark Health,Medical Aesthetics,Naturopathic medicine clinic — minimal/no aesthetic services,Not a medspa / no usable data,,1,4652
bodyrevolutionwellness.com,https://bodyrevolutionwellness.com,Body Revolution Aesthetics & Wellness,Body Revolution Aesthetics & Wellness,Medical Aesthetics,Duplicate of: Body Revolution Aesthetics & Wellness,Alternate domain of a clinic already in the DB,,1,3981
cachevalleyent.com,https://cachevalleyent.com,Cache Valley ENT,Cache Valley ENT,Medical Aesthetics,ENT (ear/nose/throat) clinic — not a medspa,Not a medspa / no usable data,,1,714
