domain	verdict	confidence	business_kind	clinic_type	code	evidence_n
aesthetic-intel.com	UNRESOLVED	medium	training_academy_with_clinic		AMBIGUOUS_ACADEMY	0
afivestarsmile.com	INCLUDE	medium	dental_aesthetics	dental_aesthetics		4
americanprep.org	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
apexfit.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		2
artspahouse.com	INCLUDE	high	day_spa_or_salon	day_spa_salon		3
ascentintegrativemedicine.com	EXCLUDE	medium	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
azorthopedic.com	EXCLUDE	high	non_clinic_business		NO_AESTHETIC_SERVICES	0
bluesparkhealth.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		2
bodyrevolutionwellness.com	UNRESOLVED	medium	dead_or_placeholder		JS_ONLY_NO_CONTENT	0
cachevalleyent.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		2
calhounhealthandspine.com	INCLUDE	high	other_medical_plus_aesthetics	wellness_plus_aesthetics		2
charissfamilyclinic.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
chiweilinmd.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
colleenmaherartistry.com	INCLUDE	medium	day_spa_or_salon	day_spa_salon		1
coreaestheticstraining.com	UNRESOLVED	medium	training_academy_with_clinic		AMBIGUOUS_ACADEMY	0
corlettexpress.com	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
courses.myaestheticinstitute.com	EXCLUDE	high	training_academy		TRAINING_ONLY	0
covecreek.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
deeplyvitalmedical.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
drgrossman.com	INCLUDE	high	plastic_surgery	plastic_surgery		4
drjosephfield.com	INCLUDE	high	dental_aesthetics	dental_aesthetics		2
drpravinsuryawanshi.com	EXCLUDE	high	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
edenmedspatx.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
elev8wellnesscenter.com	INCLUDE	medium	wellness_plus_aesthetics	wellness_plus_aesthetics		1
equilibrium-handtherapy.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		3
faceitlive.org	EXCLUDE	high	association_or_conference		CONFERENCE	0
faithfamhealth.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		3
fsdpa.org	EXCLUDE	high	association_or_conference		ASSOCIATION	0
g99.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
glamournailsandspa.com	INCLUDE	high	day_spa_or_salon	day_spa_salon		3
healthandwellnessmedicalservices.com	EXCLUDE	high	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
highlandshealthandwellness.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		1
hudson-pt.com	INCLUDE	medium	other_medical_plus_aesthetics	other_medical_plus_aesthetics		2
instituteforpainrelief.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		4
integrityfootandankle.com	EXCLUDE	high	non_clinic_business		NO_AESTHETIC_SERVICES	0
jimenezgastro.com	EXCLUDE	high	wellness_plus_aesthetics		NO_AESTHETIC_SERVICES	0
jumpstartmedical.care	EXCLUDE	high	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
lavidaai.com	INCLUDE	high	training_academy_with_clinic	medspa		2
lumify.com	UNRESOLVED	low	dead_or_placeholder		FETCH_BLOCKED	0
maisondezenbk.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
mandalynacademy.com	UNRESOLVED	medium	training_academy_with_clinic		AMBIGUOUS_ACADEMY	1
mattslocalpharmacy.com	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
mavenaesthetics.com	EXCLUDE	high	dead_or_placeholder		PLACEHOLDER_COMING_SOON	0
medspabroomfield.com	INCLUDE	high	full_medspa	medspa		2
microscalpclinic.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
neosaestheticacademy.com	EXCLUDE	high	training_academy		TRAINING_ONLY	0
niloura.com	INCLUDE	high	full_medspa	medspa		2
nursemarni.com	EXCLUDE	high	dead_or_placeholder		PLACEHOLDER_COMING_SOON	0
orthoifyortho.com	EXCLUDE	high	non_clinic_business		NO_AESTHETIC_SERVICES	0
ovillamed.com	EXCLUDE	high	dead_or_placeholder		PLACEHOLDER_COMING_SOON	0
pacific-obgyn.com	INCLUDE	high	other_medical_plus_aesthetics	other_medical_plus_aesthetics		2
paramountspecialtytraining.com	UNRESOLVED	medium	training_academy_with_clinic		AMBIGUOUS_ACADEMY	0
poonamedicalspa.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
ravissantehealth.com	EXCLUDE	high	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
reevaspa.com	EXCLUDE	high	dead_or_placeholder		PARKED_DOMAIN	0
reshapehealthclinic.com	EXCLUDE	high	other_medical_plus_aesthetics		NO_AESTHETIC_SERVICES	0
reviveketaminecenters.com	EXCLUDE	high	wellness_plus_aesthetics		NO_AESTHETIC_SERVICES	0
rockymountainsnowmobile.com	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
rumaacademy.com	UNRESOLVED	medium	training_academy_with_clinic		AMBIGUOUS_ACADEMY	0
saiassethics.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
santosh.yoga	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
skinandaura.com	EXCLUDE	high	dead_or_placeholder		PLACEHOLDER_COMING_SOON	0
slsaesthetics.com	EXCLUDE	high	dead_or_placeholder		DEAD_SITE	0
smilevirtual.com	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
southernazlaw.com	EXCLUDE	high	non_clinic_business		NON_CLINIC_BUSINESS	0
syringescience.com	EXCLUDE	high	training_academy		TRAINING_ONLY	0
